Altium Designer Pick and Place Locations
D:\Work\Outsource\Mash-Unit\MU-RK3576J-MB\MU-RK3576J-MB\Project\Project Outputs for WM620-FA\Pick Place for MU-RK3576J-MB(MU-RK3576J-MB_MEDIAPLAYER).txt

========================================================================================================================
File Design Information:

Date:       18.06.26
Time:       00:38
Revision:   565ab68ce903e9d283ca9fb6306d9a29e483809e
Variant:    MU-RK3576J-MB_MEDIAPLAYER
Units used: mm

Designator Comment                  Layer       Footprint               Center-X(mm) Center-Y(mm) Rotation Description                                                                                          
R357       249K±1%                  TopLayer    R0402                   22.5589      49.4723      0        ""                                                                                                   
R356       100K±5%                  TopLayer    R0402                   38.3824      33.0112      180      ""                                                                                                   
R355       100K±5%                  TopLayer    R0402                   14.7223      56.8540      180      ""                                                                                                   
R354       100K±1%                  TopLayer    R0402                   34.5007      37.2309      0        "Chip Resistor 0402 100k? ±1% 50V ±100ppm/? Thick Film"                                              
R353       100K±1%                  BottomLayer R0402                   9.2999       55.0169      90       "Chip Resistor 0402 100k? ±1% 50V ±100ppm/? Thick Film"                                              
R352       150K±1%                  TopLayer    R0402                   36.4456      33.0112      0        ""                                                                                                   
R351       100K±5%                  TopLayer    R0402                   13.3359      57.3540      90       ""                                                                                                   
R350       1M±1%                    BottomLayer R1206                   75.4362      4.8539       90       "Chip Resistor 1206 1M? ±1% 200V ±100ppm/? Thick Film"                                               
R348       0R±1%                    BottomLayer R0402                   78.6167      13.3582      180      "Chip Resistor 0402 0? ±1% 50V ±100ppm/? Thick Film"                                                 
R347       510R±5%                  BottomLayer R0402                   82.7440      11.1118      180      ""                                                                                                   
R346       0R±1%                    BottomLayer R0402                   80.4456      12.4388      0        "Chip Resistor 0402 0? ±1% 50V ±100ppm/? Thick Film"                                                 
R345       510R±5%                  BottomLayer R0402                   88.6448      11.0938      0        ""                                                                                                   
R343       36.5R±1%                 TopLayer    R0805                   72.1802      29.9725      90       "Chip Resistor 0805 200? ±1% 150V ±100ppm/? Thick Film"                                              
R342       51.1R±1%                 TopLayer    R0805                   73.9370      30.0114      90       "Chip Resistor 0805 200? ±1% 150V ±100ppm/? Thick Film"                                              
